food_name,gi_value,serving_size_g,available_carbs_g,gl_value,food_category,reference,study_details,usda_fdc_id,usda_food_name,match_score,calories_per_100g,protein_per_100g,fat_per_100g,fiber_per_100g,carbohydrates_per_100g,data_source
Wild rice boiled,57,150,32,18,Cereal Grains,Foster-Powell 2002,Tested in 10 subjects,601549,WILD RICE BLEND,0.832,356.0,8.89,3.33,4.4,75.56,USDA FoodData Central (Local Match)
Sticky rice,87,150,37,32,Cereal Grains,Atkinson 2021,Tested in humans,703030,STICKY RICE,1.0,150.0,2.14,0.0,0.4,35.0,USDA FoodData Central (Local Match)
Red rice,55,150,40,22,Cereal Grains,Atkinson 2021,Tested in humans,537460,RED RICE,1.0,356.0,8.89,0.0,4.4,82.22,USDA FoodData Central (Local Match)
Black rice,42,150,34,14,Cereal Grains,Atkinson 2021,Tested in humans,356561,BLACK RICE,1.0,356.0,8.89,3.33,2.2,75.56,USDA FoodData Central (Local Match)
Rice porridge congee,78,250,30,23,Cereal Grains,Atkinson 2021,Tested in humans,552097,RICE PORRIDGE WITH ABALONE,0.717,42.0,1.05,0.0,0.7,9.82,USDA FoodData Central (Local Match)
Barley pearled boiled,28,150,42,12,Cereal Grains,Foster-Powell 2002,Tested in 10 subjects,389657,"KROGER, PEARLED BARLEY",0.656,311.0,8.89,1.11,15.6,77.78,USDA FoodData Central (Local Match)
Bulgur wheat,48,150,26,12,Cereal Grains,Foster-Powell 2002,Tested in 10 subjects,577902,BULGUR WHEAT,1.0,200.0,20.0,0.0,32.5,0.06,USDA FoodData Central (Local Match)
Couscous,65,150,35,23,Cereal Grains,Foster-Powell 2002,Tested in 10 subjects,1108476,COUSCOUS,1.0,355.0,11.29,1.61,3.2,74.19,USDA FoodData Central (Local Match)
Quinoa,53,150,21,11,Cereal Grains,Foster-Powell 2002,Tested in 10 subjects,1111444,ORGANIC QUINOA,1.0,367.0,13.33,6.67,6.7,63.33,USDA FoodData Central (Local Match)
Cornmeal,69,150,30,21,Cereal Grains,Foster-Powell 2002,Tested in 10 subjects,519405,CORNMEAL,1.0,357.0,7.14,0.0,2.4,80.95,USDA FoodData Central (Local Match)
Millet boiled,71,150,36,25,Cereal Grains,Foster-Powell 2002,Tested in 10 subjects,514607,MILLET BREAD,0.71,304.0,10.71,3.57,7.1,57.14,USDA FoodData Central (Local Match)
Amaranth,35,150,32,11,Cereal Grains,Atkinson 2021,Tested in humans,537218,ORGANIC AMARANTH,1.0,370.0,14.0,6.0,6.0,64.0,USDA FoodData Central (Local Match)
Buckwheat,54,150,30,16,Cereal Grains,Atkinson 2021,Tested in humans,170286,Buckwheat,1.0,343.0,13.25,3.4,10.0,71.5,USDA FoodData Central (Local Match)
All-Bran cereal,42,30,23,9,Breakfast Cereals,Foster-Powell 2002,Tested in 10 subjects,444926,BRAN CEREAL,0.742,322.0,8.47,1.69,11.9,77.97,USDA FoodData Central (Manually Verified)
Bran Flakes,74,30,18,13,Breakfast Cereals,Foster-Powell 2002,Tested in 10 subjects,362042,BRAN FLAKES,1.0,310.0,10.34,1.72,17.2,79.31,USDA FoodData Central (Local Match)
Cheerios,74,30,20,15,Breakfast Cereals,Foster-Powell 2002,Tested in 10 subjects,349583,Honey Nut Cheerios Cereal,0.639,393.0,7.14,5.36,7.1,78.57,USDA FoodData Central (Local Match)
Corn Flakes,81,30,26,21,Breakfast Cereals,Foster-Powell 2002,Tested in 10 subjects,356651,CORN FLAKES,1.0,382.0,8.82,0.0,2.9,88.24,USDA FoodData Central (Local Match)
Frosted Flakes,55,30,26,15,Breakfast Cereals,Foster-Powell 2002,Tested in 10 subjects,359619,FROSTED FLAKES,1.0,387.0,3.23,0.0,3.2,90.32,USDA FoodData Central (Local Match)
Grape-Nuts,75,30,21,16,Breakfast Cereals,Foster-Powell 2002,Tested in 10 subjects,171647,"Cereals ready-to-eat, POST, GRAPE-NUTS Cereal",0.555,361.0,11.22,1.81,13.0,80.49,USDA FoodData Central (Local Match)
Muesli,57,30,16,9,Breakfast Cereals,Foster-Powell 2002,Tested in 10 subjects,387601,MUESLI,1.0,386.0,10.53,10.53,8.8,61.4,USDA FoodData Central (Local Match)
Granola,43,30,16,7,Breakfast Cereals,Atkinson 2021,Tested in humans,359852,GRANOLA,1.0,440.0,12.0,16.0,8.0,64.0,USDA FoodData Central (Local Match)
Oatmeal instant,79,250,26,21,Breakfast Cereals,Foster-Powell 2002,Tested in 10 subjects,441319,OATMEAL INSTANT PORRIDGE,0.838,365.0,8.11,5.41,6.8,75.68,USDA FoodData Central (Local Match)
Oatmeal rolled oats,55,250,21,12,Breakfast Cereals,Foster-Powell 2002,Tested in 10 subjects,585296,OATMEAL WITH VANILLA INSTANT ROLLED OATS,0.751,375.0,12.5,7.5,10.0,0.07,USDA FoodData Central (Manually Verified)
Oatmeal steel cut,52,250,21,11,Breakfast Cereals,Atkinson 2021,Tested in humans,446226,ORGANIC IRISH STYLE OATMEAL STEEL CUT,0.741,375.0,12.5,6.25,10.0,67.5,USDA FoodData Central (Manually Verified)
Puffed wheat,80,30,21,17,Breakfast Cereals,Foster-Powell 2002,Tested in 10 subjects,601250,PUFFED WHEAT,1.0,353.0,17.65,0.0,11.8,76.47,USDA FoodData Central (Local Match)
Rice Krispies,82,30,26,22,Breakfast Cereals,Foster-Powell 2002,Tested in 10 subjects,415472,RICE CRISPS,0.733,400.0,6.67,0.0,0.0,86.67,USDA FoodData Central (Local Match)
Shredded Wheat,75,30,20,15,Breakfast Cereals,Foster-Powell 2002,Tested in 10 subjects,391500,SHREDDED WHEAT,1.0,373.0,8.47,3.39,10.2,83.05,USDA FoodData Central (Local Match)
Special K,69,30,21,14,Breakfast Cereals,Foster-Powell 2002,Tested in 10 subjects,387397,SPECIAL SAUCE,0.659,571.0,0.0,57.14,0.0,7.14,USDA FoodData Central (Local Match)
Pasta white boiled,49,180,48,23,Pasta,Foster-Powell 2002,Tested in 10 subjects,619478,SOFT WHITE BREAD,0.594,263.0,7.02,3.51,1.8,49.12,USDA FoodData Central (Local Match)
Pasta whole wheat,48,180,42,20,Pasta,Foster-Powell 2002,Tested in 10 subjects,521923,PITA WHOLE WHEAT,0.836,268.0,10.71,2.68,7.1,51.79,USDA FoodData Central (Local Match)
Pasta protein enriched,27,180,52,14,Pasta,Foster-Powell 2002,Tested in 10 subjects,169736,"Pasta, dry, enriched",0.633,371.0,13.04,1.51,3.2,74.67,USDA FoodData Central (Manually Verified)
Fettuccine,40,180,46,18,Pasta,Foster-Powell 2002,Tested in 10 subjects,1118965,FETTUCCINE,1.0,305.0,11.58,2.63,3.2,54.74,USDA FoodData Central (Local Match)
Linguine,52,180,48,25,Pasta,Foster-Powell 2002,Tested in 10 subjects,1118836,LINGUINE,1.0,306.0,11.76,2.94,2.4,55.29,USDA FoodData Central (Local Match)
Macaroni,47,180,48,23,Pasta,Foster-Powell 2002,Tested in 10 subjects,467627,MACARONI,1.0,357.0,10.71,1.79,3.6,73.21,USDA FoodData Central (Local Match)
Spaghetti white,49,180,48,24,Pasta,Foster-Powell 2002,Tested in 10 subjects,356490,SPAGHETTI,0.675,375.0,12.5,1.79,3.6,73.21,USDA FoodData Central (Manually Verified)
Spaghetti whole wheat,48,180,42,20,Pasta,Foster-Powell 2002,Tested in 10 subjects,394586,THIN SPAGHETTI WHOLE WHEAT PASTA,0.855,321.0,14.29,2.68,10.7,69.64,USDA FoodData Central (Local Match)
Vermicelli,35,180,44,16,Pasta,Foster-Powell 2002,Tested in 10 subjects,370546,VERMICELLI,1.0,380.0,12.0,2.0,4.0,78.0,USDA FoodData Central (Local Match)
Rice noodles,53,180,39,21,Pasta,Foster-Powell 2002,Tested in 10 subjects,1132501,ORGANIC RICE NOODLES,1.0,362.0,5.0,0.0,0.0,87.5,USDA FoodData Central (Local Match)
Rice vermicelli,58,180,39,23,Pasta,Atkinson 2021,Tested in humans,364957,RICE VERMICELLI,1.0,382.0,0.0,0.91,1.8,83.64,USDA FoodData Central (Local Match)
Udon noodles,55,180,48,26,Pasta,Foster-Powell 2002,Tested in 10 subjects,391958,UDON NOODLES,1.0,196.0,7.14,1.79,1.8,37.86,USDA FoodData Central (Local Match)
Soba noodles,59,180,43,25,Pasta,Atkinson 2021,Tested in humans,662720,CHUKA SOBA CURLY NOODLES,0.767,345.0,14.55,0.91,3.6,74.55,USDA FoodData Central (Local Match)
Ramen noodles,55,180,40,22,Pasta,Atkinson 2021,Tested in humans,378011,RAMEN NOODLES,1.0,468.0,10.64,21.28,4.3,59.57,USDA FoodData Central (Local Match)
Instant noodles,47,180,40,19,Pasta,Foster-Powell 2002,Tested in 10 subjects,401923,INSTANT NOODLES,1.0,478.0,7.5,23.33,0.8,60.0,USDA FoodData Central (Local Match)
Glass noodles mung bean,33,180,39,13,Pasta,Atkinson 2021,Tested in humans,1125259,ORGANIC MUNG BEAN ROTINI,0.537,321.0,23.21,1.79,10.7,50.0,USDA FoodData Central (Local Match)
Egg noodles,40,180,40,16,Pasta,Atkinson 2021,Tested in humans,1134458,EGG NOODLES,1.0,136.0,5.0,1.43,0.7,26.43,USDA FoodData Central (Local Match)
Apple raw,36,120,15,6,Fruits,Foster-Powell 2002,Tested in 10 subjects,454004,APPLE,1.0,52.0,0.0,0.65,3.2,14.29,USDA FoodData Central (Local Match)
Apricot raw,57,120,9,5,Fruits,Foster-Powell 2002,Tested in 10 subjects,383317,ORGANIC APRICOT,1.0,167.0,0.0,0.0,0.0,44.44,USDA FoodData Central (Local Match)
Banana ripe,51,120,25,13,Fruits,Foster-Powell 2002,Tested in 10 subjects,1139240,BANANA CHIPS,0.698,500.0,2.5,25.0,0.0,65.0,USDA FoodData Central (Local Match)
Banana unripe,30,120,23,7,Fruits,Atkinson 2021,Tested in humans,1113355,BANANA MANIA,0.654,75.0,0.71,0.0,2.1,20.0,USDA FoodData Central (Local Match)
Blueberries,53,120,12,6,Fruits,Atkinson 2021,Tested in humans,1106142,BLUEBERRIES,1.0,57.0,0.71,0.71,2.9,12.14,USDA FoodData Central (Local Match)
Cantaloupe,65,120,6,4,Fruits,Foster-Powell 2002,Tested in 10 subjects,360317,DRIED CANTALOUPE,1.0,357.0,0.0,0.0,3.6,85.71,USDA FoodData Central (Local Match)
Cherries,22,120,12,3,Fruits,Foster-Powell 2002,Tested in 10 subjects,359006,DRIED CHERRIES,1.0,325.0,2.5,0.0,2.5,80.0,USDA FoodData Central (Local Match)
Dates dried,103,60,40,42,Fruits,Foster-Powell 2002,Tested in 10 subjects,1115471,DATES,1.0,375.0,30.0,6.25,10.0,67.5,USDA FoodData Central (Local Match)
Figs dried,61,60,26,16,Fruits,Atkinson 2021,Tested in humans,1130185,ORGANIC FIGS,1.0,300.0,2.5,0.0,12.5,72.5,USDA FoodData Central (Local Match)
Grapefruit,25,120,11,3,Fruits,Foster-Powell 2002,Tested in 10 subjects,1135672,GRAPEFRUIT,1.0,42.0,0.77,0.0,1.5,10.81,USDA FoodData Central (Local Match)
Grapes,46,120,18,8,Fruits,Foster-Powell 2002,Tested in 10 subjects,466856,GRAPES CUP,0.825,71.0,0.54,0.0,1.1,17.93,USDA FoodData Central (Local Match)
Kiwi fruit,53,120,12,6,Fruits,Foster-Powell 2002,Tested in 10 subjects,1131991,KIWI FRUIT,1.0,370.0,0.0,0.0,1.0,92.0,USDA FoodData Central (Local Match)
Mango,51,120,17,8,Fruits,Foster-Powell 2002,Tested in 10 subjects,1121257,DRIED MANGO,1.0,395.0,4.65,2.33,4.7,69.77,USDA FoodData Central (Local Match)
Orange,43,120,11,5,Fruits,Foster-Powell 2002,Tested in 10 subjects,392522,ORANGE,1.0,381.0,4.76,0.0,0.0,90.48,USDA FoodData Central (Local Match)
Papaya,59,120,11,6,Fruits,Foster-Powell 2002,Tested in 10 subjects,469052,DRIED PAPAYA,1.0,167.0,0.0,0.0,2.8,66.67,USDA FoodData Central (Local Match)
Peach fresh,42,120,11,5,Fruits,Foster-Powell 2002,Tested in 10 subjects,419476,PEACH,1.0,44.0,0.19,0.0,0.1,11.68,USDA FoodData Central (Local Match)
Peach canned,52,120,18,9,Fruits,Foster-Powell 2002,Tested in 10 subjects,419476,PEACH,1.0,44.0,0.19,0.0,0.1,11.68,USDA FoodData Central (Local Match)
Pear raw,38,120,11,4,Fruits,Foster-Powell 2002,Tested in 10 subjects,465539,PEAR SAUCE,0.767,300.0,0.0,0.0,0.0,73.33,USDA FoodData Central (Local Match)
Pineapple,59,120,13,7,Fruits,Foster-Powell 2002,Tested in 10 subjects,1135356,PINEAPPLE,1.0,370.0,0.0,0.0,2.0,93.0,USDA FoodData Central (Local Match)
Plum,39,120,12,5,Fruits,Foster-Powell 2002,Tested in 10 subjects,450847,RED PLUM,0.767,250.0,0.0,0.0,0.0,65.0,USDA FoodData Central (Manually Verified)
Pomegranate,53,120,14,7,Fruits,Atkinson 2021,Tested in humans,433603,POMEGRANATE,1.0,429.0,14.29,21.43,7.1,57.14,USDA FoodData Central (Local Match)
Prunes dried,29,60,33,10,Fruits,Atkinson 2021,Tested in humans,402823,PRUNES,1.0,129.0,0.71,0.0,2.9,30.71,USDA FoodData Central (Local Match)
Raisins,64,60,44,28,Fruits,Foster-Powell 2002,Tested in 10 subjects,1107798,RAISINS,1.0,325.0,2.5,0.0,5.0,77.5,USDA FoodData Central (Local Match)
Strawberries,40,120,3,1,Fruits,Foster-Powell 2002,Tested in 10 subjects,1107567,STRAWBERRIES,1.0,36.0,0.71,0.0,2.1,9.29,USDA FoodData Central (Local Match)
Watermelon,76,120,11,8,Fruits,Foster-Powell 2002,Tested in 10 subjects,533221,WATERMELON,1.0,31.0,0.78,0.25,0.4,7.45,USDA FoodData Central (Local Match)
Apple juice,40,250,29,12,Fruit Juices,Foster-Powell 2002,Tested in 10 subjects,1114854,APPLE JUICE,1.0,30.0,0.0,0.0,0.0,7.63,USDA FoodData Central (Local Match)
Cranberry juice,68,250,31,21,Fruit Juices,Foster-Powell 2002,Tested in 10 subjects,419837,ORGANIC CRANBERRY JUICE,1.0,54.0,0.0,0.0,0.0,13.75,USDA FoodData Central (Local Match)
Grapefruit juice,48,250,22,11,Fruit Juices,Foster-Powell 2002,Tested in 10 subjects,498675,GRAPEFRUIT JUICE,1.0,38.0,0.42,0.0,0.4,9.32,USDA FoodData Central (Local Match)
Orange juice,50,250,26,13,Fruit Juices,Foster-Powell 2002,Tested in 10 subjects,1111092,ORANGE JUICE,1.0,46.0,0.83,0.0,0.0,11.25,USDA FoodData Central (Local Match)
Pineapple juice,46,250,34,16,Fruit Juices,Foster-Powell 2002,Tested in 10 subjects,1113602,PINEAPPLE JUICE,1.0,40.0,0.4,0.0,0.0,10.0,USDA FoodData Central (Local Match)
Tomato juice,38,250,9,4,Fruit Juices,Foster-Powell 2002,Tested in 10 subjects,418122,TOMATO JUICE,1.0,21.0,0.83,0.0,0.8,4.17,USDA FoodData Central (Local Match)
Baked beans,48,150,15,7,Legumes,Foster-Powell 2002,Tested in 10 subjects,1123376,BAKED BEANS,1.0,177.0,5.38,0.5,5.4,38.46,USDA FoodData Central (Local Match)
Black beans,30,150,23,7,Legumes,Foster-Powell 2002,Tested in 10 subjects,1106780,BLACK BEANS,1.0,184.0,23.68,0.0,39.5,60.53,USDA FoodData Central (Local Match)
Black-eyed peas,42,150,27,11,Legumes,Atkinson 2021,Tested in humans,1135575,BLACK-EYED PEAS,1.0,343.0,22.86,0.0,11.4,60.0,USDA FoodData Central (Local Match)
Chickpeas boiled,28,150,30,8,Legumes,Foster-Powell 2002,Tested in 10 subjects,465794,CHICKPEAS,0.654,128.0,8.0,1.6,4.0,20.8,USDA FoodData Central (Manually Verified)
Kidney beans,24,150,25,6,Legumes,Foster-Powell 2002,Tested in 10 subjects,1107793,ORGANIC KIDNEY BEANS,1.0,85.0,5.38,0.0,6.2,15.38,USDA FoodData Central (Local Match)
Lentils red,26,150,18,5,Legumes,Foster-Powell 2002,Tested in 10 subjects,1119376,RED LENTILS,0.745,360.0,26.0,1.0,30.0,60.0,USDA FoodData Central (Manually Verified)
Lentils green,30,150,17,5,Legumes,Foster-Powell 2002,Tested in 10 subjects,527545,GREEN LENTILS HERITAGE BEANS,0.71,358.0,24.53,1.89,34.0,60.38,USDA FoodData Central (Manually Verified)
Lima beans,32,150,20,6,Legumes,Foster-Powell 2002,Tested in 10 subjects,1117820,LIMA BEANS,1.0,72.0,2.4,0.4,2.4,13.6,USDA FoodData Central (Local Match)
Mung beans,39,150,19,7,Legumes,Atkinson 2021,Tested in humans,400299,MUNG BEANS,1.0,365.0,24.0,1.0,0.0,65.0,USDA FoodData Central (Local Match)
Navy beans,38,150,26,10,Legumes,Foster-Powell 2002,Tested in 10 subjects,1108441,NAVY BEANS,1.0,77.0,5.38,0.0,4.6,14.62,USDA FoodData Central (Local Match)
Pinto beans,39,150,26,10,Legumes,Foster-Powell 2002,Tested in 10 subjects,1106481,ORGANIC PINTO BEANS,1.0,92.0,5.38,0.0,3.8,16.15,USDA FoodData Central (Local Match)
Soybeans boiled,18,150,6,1,Legumes,Foster-Powell 2002,Tested in 10 subjects,512782,SOYBEANS,0.637,464.0,35.71,25.0,7.1,32.14,USDA FoodData Central (Local Match)
Split peas,32,150,19,6,Legumes,Foster-Powell 2002,Tested in 10 subjects,388468,SPLIT PEAS SOUP,0.86,58.0,3.33,1.04,3.3,10.83,USDA FoodData Central (Local Match)
White beans,38,150,25,10,Legumes,Atkinson 2021,Tested in humans,362721,WHITE BEANS,1.0,85.0,4.62,0.77,5.4,18.46,USDA FoodData Central (Local Match)
Cashews salted,22,50,13,3,Nuts,Foster-Powell 2002,Tested in 10 subjects,516033,"CASHEWS ROASTED, SALTED",0.83,567.0,16.67,46.67,3.3,30.0,USDA FoodData Central (Local Match)
Peanuts,14,50,6,1,Nuts,Foster-Powell 2002,Tested in 10 subjects,1138355,RAW PEANUTS,1.0,571.0,25.0,50.0,7.1,17.86,USDA FoodData Central (Local Match)
Potato boiled,78,150,18,14,Vegetables,Foster-Powell 2002,Tested in 10 subjects,381322,POTATO BITES,0.71,176.0,1.18,9.41,1.2,20.0,USDA FoodData Central (Local Match)
Potato instant mashed,87,150,20,17,Vegetables,Foster-Powell 2002,Tested in 10 subjects,361804,POTATO FLAKES INSTANT MASHED POTATOES,0.807,368.0,5.26,0.0,5.3,78.95,USDA FoodData Central (Local Match)
Potato baked,85,150,30,26,Vegetables,Foster-Powell 2002,Tested in 10 subjects,472079,BAKED POTATO CAKES,0.767,118.0,2.35,4.12,1.2,20.0,USDA FoodData Central (Local Match)
Potato french fries,63,150,29,18,Vegetables,Foster-Powell 2002,Tested in 10 subjects,561476,100% REAL POTATO FRENCH FRIES,0.854,500.0,3.33,30.0,6.7,56.67,USDA FoodData Central (Local Match)
Potato chips,56,50,18,10,Vegetables,Foster-Powell 2002,Tested in 10 subjects,1111314,POTATO CHIPS,1.0,536.0,7.14,35.71,3.6,57.14,USDA FoodData Central (Local Match)
Sweet potato,63,150,20,13,Vegetables,Foster-Powell 2002,Tested in 10 subjects,477475,SWEET POTATO,1.0,106.0,5.45,1.28,1.9,16.35,USDA FoodData Central (Local Match)
Sweet potato orange,70,150,20,14,Vegetables,Atkinson 2021,Tested in humans,449817,SWEET POTATO FRIES,0.768,179.0,1.19,5.95,3.6,28.57,USDA FoodData Central (Local Match)
Yam,37,150,36,13,Vegetables,Foster-Powell 2002,Tested in 10 subjects,489244,YAM,1.0,118.0,1.33,0.0,4.0,28.0,USDA FoodData Central (Local Match)
Cassava,46,150,38,17,Vegetables,Atkinson 2021,Tested in humans,372909,CASSAVA,1.0,146.0,3.88,0.97,1.0,33.01,USDA FoodData Central (Local Match)
Taro,53,150,27,14,Vegetables,Atkinson 2021,Tested in humans,467938,TARO BUN,0.767,298.0,7.02,10.53,1.8,45.61,USDA FoodData Central (Local Match)
Carrots boiled,39,80,5,2,Vegetables,Foster-Powell 2002,Tested in 10 subjects,689922,CARROTS PETITE,0.65,41.0,1.18,0.0,2.4,9.41,USDA FoodData Central (Local Match)
Carrots raw,16,80,6,1,Vegetables,Foster-Powell 2002,Tested in 10 subjects,1116339,CARROTS,1.0,38.0,1.28,0.0,2.6,8.97,USDA FoodData Central (Local Match)
Corn sweet,52,80,17,9,Vegetables,Foster-Powell 2002,Tested in 10 subjects,1111663,ORGANIC SWEET CORN,0.75,333.0,13.33,5.0,6.7,76.67,USDA FoodData Central (Manually Verified)
Peas green,48,80,7,3,Vegetables,Foster-Powell 2002,Tested in 10 subjects,1136234,PETITE GREEN PEAS,0.715,82.0,4.71,0.0,5.9,14.12,USDA FoodData Central (Manually Verified)
